Location,Count,Mean
Barnsley,7.0,1.7142857142857142
Bedford,8.0,1.625
Birmingham,113.0,1.7256637168141593
Blackpool,10.0,1.6
Bolton,9.0,0.8888888888888888
Bradford,39.0,1.6666666666666667
Buckinghamshire,5.0,1.6
Bury,6.0,1.8333333333333333
Calderdale,1.0,0.0
Cambridgeshire,7.0,1.1428571428571428
Cornwall,12.0,1.75
Coventry,15.0,1.2
Cumbria,6.0,1.1666666666666667
Darlington,2.0,1.0
Derby,7.0,1.7142857142857142
Derbyshire,12.0,1.9166666666666667
Devon,4.0,1.25
Doncaster,7.0,1.0
Dorset,2.0,2.0
Dudley,3.0,0.3333333333333333
Essex,21.0,1.7142857142857142
Gateshead,4.0,2.25
Gloucestershire,12.0,2.0
Halton,1.0,2.0
Hampshire,10.0,1.7
Hartlepool,1.0,3.0
Hertfordshire,24.0,1.625
Kent,15.0,1.3333333333333333
Lancashire,15.0,1.6666666666666667
Leeds,71.0,1.676056338028169
Leicester,25.0,2.0
Leicestershire,11.0,1.5454545454545454
Lincolnshire,3.0,2.3333333333333335
Liverpool,102.0,1.588235294117647
Luton,9.0,1.4444444444444444
Manchester,239.0,1.6945606694560669
Middlesbrough,5.0,2.0
Norfolk,8.0,1.5
Northamptonshire,6.0,2.6666666666666665
Northumberland,4.0,1.25
Nottingham,35.0,1.6571428571428573
Nottinghamshire,4.0,2.75
Oldham,5.0,2.0
Oxfordshire,3.0,1.0
Peterborough,7.0,2.7142857142857144
Plymouth,21.0,1.5238095238095237
Portsmouth,16.0,1.6875
Reading,18.0,1.6666666666666667
Rochdale,8.0,1.25
Rotherham,4.0,1.25
Salford,16.0,1.6875
Sheffield,69.0,1.7246376811594204
Shropshire,11.0,1.7272727272727273
Slough,5.0,2.6
Solihull,8.0,1.875
Somerset,4.0,1.5
Southampton,27.0,1.9259259259259258
Southend-on-Sea,5.0,1.4
Staffordshire,13.0,1.6153846153846154
Stockport,15.0,1.9333333333333333
Stockton-on-Tees,2.0,1.0
Stoke-on-Trent,16.0,1.9375
Suffolk,11.0,1.6363636363636365
Sunderland,10.0,2.6
Surrey,12.0,1.75
Swindon,18.0,1.5555555555555556
Torbay,11.0,1.0
Wakefield,14.0,1.3571428571428572
Walsall,2.0,1.5
Warrington,12.0,1.6666666666666667
Warwickshire,5.0,2.0
Wigan,8.0,2.0
Wiltshire,7.0,1.4285714285714286
Wirral,9.0,1.7777777777777777
Wokingham,1.0,2.0
Wolverhampton,3.0,0.6666666666666666
Worcestershire,5.0,2.8
York,34.0,1.588235294117647
Belfast,66.0,1.6666666666666667
Falkirk,2.0,1.5
Fife,6.0,1.3333333333333333
Highland,3.0,2.0
Stirling,4.0,0.75
Bridgend,5.0,2.0
Caerphilly,12.0,1.1666666666666667
Cardiff,72.0,1.4166666666666667
Gwynedd,1.0,3.0
Newport,11.0,1.6363636363636365
Pembrokeshire,5.0,1.6
Swansea,18.0,2.2222222222222223
Wrexham,12.0,1.9166666666666667
